Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Avatar: The Way of Water,2022,"['Action', 'Adventure', 'Science Fiction']",7.611,13044,350000000,2330224914,76600
The Batman,2022,"['Crime', 'Mystery', 'Thriller']",7.7,11371,185000000,772319315,414906
Top Gun: Maverick,2022,"['Action', 'Drama']",8.2,10335,170000000,1488732821,361743
Doctor Strange in the Multiverse of Madness,2022,"['Fantasy', 'Action', 'Adventure']",7.24,9872,290000000,955775804,453395
Puss in Boots: The Last Wish,2022,"['Animation', 'Adventure', 'Fantasy', 'Comedy', 'Family']",8.209,8485,90000000,484700000,315162
Thor: Love and Thunder,2022,"['Fantasy', 'Action', 'Comedy']",6.4,8203,250000000,760900000,616037
Everything Everywhere All at Once,2022,"['Action', 'Adventure', 'Science Fiction']",7.728,7443,25000000,139200000,545611
Prey,2022,"['Thriller', 'Action', 'Science Fiction']",7.674,7342,65000000,0,766507
Black Panther: Wakanda Forever,2022,"['Action', 'Adventure', 'Science Fiction']",7.0,7101,250000000,859102154,505642
Bullet Train,2022,"['Action', 'Comedy', 'Thriller']",7.419,7042,90000000,239300000,718930
Black Adam,2022,"['Action', 'Adventure', 'Science Fiction']",6.8,6766,200000000,393452111,436270
Jurassic World Dominion,2022,"['Adventure', 'Action', 'Science Fiction']",6.631,6732,583900000,1004004592,507086
Uncharted,2022,"['Action', 'Adventure']",6.9,6489,120000000,407141258,335787
Glass Onion: A Knives Out Mystery,2022,"['Comedy', 'Crime', 'Mystery']",7.0,6180,40000000,15000000,661374
The Menu,2022,"['Comedy', 'Horror', 'Thriller']",7.172,5708,35000000,79628200,593643
Sonic the Hedgehog 2,2022,"['Action', 'Adventure', 'Family', 'Comedy']",7.447,5690,110000000,405421518,675353
Turning Red,2022,"['Animation', 'Family', 'Comedy', 'Fantasy']",7.329,5589,175000000,0,508947
The Black Phone,2022,"['Horror', 'Thriller']",7.551,5499,16000000,161441914,756999
Fantastic Beasts: The Secrets of Dumbledore,2022,"['Fantasy', 'Adventure']",6.635,4882,200000000,407200000,338953
The Northman,2022,"['Action', 'Adventure', 'Fantasy']",7.0,4778,70000000,69633110,639933
The Adam Project,2022,"['Adventure', 'Science Fiction', 'Action', 'Comedy']",7.006,4684,116000000,0,696806
Morbius,2022,"['Action', 'Science Fiction', 'Fantasy']",5.939,4633,75000000,167635712,526896
Nope,2022,"['Horror', 'Science Fiction']",6.825,4597,68000000,170823080,762504
M3GAN,2022,"['Science Fiction', 'Horror']",7.0,4556,12000000,181796517,536554
All Quiet on the Western Front,2022,"['War', 'History', 'Drama']",7.7,4376,20000000,0,49046
The Whale,2022,['Drama'],7.793,4358,3000000,55101305,785084
Fall,2022,['Thriller'],7.122,4316,3000000,17363261,985939
The Gray Man,2022,"['Action', 'Thriller']",6.923,3989,200000000,454023,725201
Death on the Nile,2022,"['Mystery', 'Crime', 'Thriller']",6.422,3979,90000000,137307235,505026
Minions: The Rise of Gru,2022,"['Family', 'Comedy', 'Adventure', 'Animation', 'Science Fiction', 'Fantasy']",7.285,3861,85000000,940203765,438148
The Lost City,2022,"['Action', 'Adventure', 'Comedy']",6.471,3832,74000000,192907684,752623
Smile,2022,"['Horror', 'Mystery']",6.667,3813,17000000,217408513,882598
X,2022,"['Horror', 'Thriller']",6.734,3728,1000000,15113105,760104
Elvis,2022,"['Drama', 'Music', 'History']",7.477,3710,85000000,288670284,614934
Lightyear,2022,"['Animation', 'Science Fiction', 'Family', 'Adventure']",6.896,3657,200000000,226425420,718789
Scream,2022,"['Horror', 'Mystery']",6.689,3615,24000000,137743924,646385
Babylon,2022,"['Drama', 'Comedy']",7.373,3532,78000000,65267446,615777
Harry Potter 20th Anniversary: Return to Hogwarts,2022,['Documentary'],7.306,3452,0,0,899082
Moonfall,2022,"['Science Fiction', 'Adventure', 'Action']",6.267,3393,146000000,67319703,406759
A Man Called Otto,2022,"['Comedy', 'Drama']",7.754,3293,50000000,108961677,937278
Through My Window,2022,"['Romance', 'Drama', 'Comedy']",7.362,3280,0,0,818647
Guillermo del Toro's Pinocchio,2022,"['Animation', 'Fantasy', 'Adventure', 'Drama']",8.042,3175,35000000,0,555604
The Banshees of Inisherin,2022,"['Drama', 'Comedy']",7.457,3118,20000000,49300000,674324
Barbarian,2022,"['Horror', 'Thriller']",6.84,2964,4500000,45400000,913290
Dragon Ball Super: Super Hero,2022,"['Animation', 'Science Fiction', 'Action']",7.887,2947,0,86600000,610150
Hotel Transylvania: Transformania,2022,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",7.051,2938,75000000,18500000,585083
Don't Worry Darling,2022,"['Science Fiction', 'Mystery', 'Thriller']",6.778,2782,35000000,86700000,619730
Purple Hearts,2022,"['Romance', 'Drama']",8.1,2772,0,0,762975
Hustle,2022,"['Drama', 'Comedy']",7.719,2709,21000000,0,705861
Triangle of Sadness,2022,"['Comedy', 'Drama']",7.027,2630,15600000,24733572,497828
The Fabelmans,2022,['Drama'],7.576,2589,40000000,45629909,804095
Sisu,2022,"['Action', 'War']",7.397,2482,6600000,14281199,840326
Pearl,2022,"['Horror', 'Thriller']",7.242,2383,1000000,10139416,949423
The Bad Guys,2022,"['Family', 'Comedy', 'Crime', 'Adventure', 'Animation', 'Action']",7.535,2380,80000000,250162278,629542
Violent Night,2022,"['Action', 'Comedy', 'Fantasy']",7.237,2378,20000000,75734910,899112
Terrifier 2,2022,"['Horror', 'Thriller']",6.697,2374,250000,15741780,663712
Ambulance,2022,"['Thriller', 'Action', 'Crime']",6.636,2302,40000000,52303589,763285
The Unbearable Weight of Massive Talent,2022,"['Action', 'Comedy', 'Crime']",6.788,2298,30000000,29116320,648579
The Woman King,2022,"['Action', 'Drama', 'History']",7.636,2265,50000000,97300000,724495
Orphan: First Kill,2022,"['Horror', 'Thriller']",6.613,2235,10000000,9572765,760161
The Guardians of the Galaxy Holiday Special,2022,"['Comedy', 'Science Fiction', 'Adventure']",7.1,2225,0,0,774752
Samaritan,2022,"['Science Fiction', 'Crime', 'Action']",6.675,2114,100000000,0,629176
Day Shift,2022,"['Action', 'Fantasy', 'Horror', 'Comedy', 'Thriller']",6.753,2101,100000000,0,755566
Where the Crawdads Sing,2022,"['Drama', 'Mystery', 'Romance']",7.543,2095,24000000,144353965,682507
The Pale Blue Eye,2022,"['Thriller', 'Crime', 'Horror', 'Mystery']",6.811,2033,72000000,0,800815
